Sample,Animal,Timepoint,Mpt64.IgG1,HspX.IgG1,GroES.IgG1,PPD.IgG1,LAM.IgG1,PstS1.IgG1,Ag85A.B.IgG1,Apa.IgG1,EBOV.GP.IgG1,Mpt64.IgG2,HspX.IgG2,GroES.IgG2,PPD.IgG2,LAM.IgG2,PstS1.IgG2,Ag85A.B.IgG2,Apa.IgG2,EBOV.GP.IgG2,Mpt64.IgG3,HspX.IgG3,GroES.IgG3,PPD.IgG3,LAM.IgG3,PstS1.IgG3,Ag85A.B.IgG3,Apa.IgG3,EBOV.GP.IgG3,Mpt64.IgG4,HspX.IgG4,GroES.IgG4,PPD.IgG4,LAM.IgG4,PstS1.IgG4,Ag85A.B.IgG4,Apa.IgG4,EBOV.GP.IgG4,Mpt64.IgA,HspX.IgA,GroES.IgA,PPD.IgA,LAM.IgA,PstS1.IgA,Ag85A.B.IgA,Apa.IgA,EBOV.GP.IgA,Mpt64.IgM,HspX.IgM,GroES.IgM,PPD.IgM,LAM.IgM,PstS1.IgM,Ag85A.B.IgM,Apa.IgM,EBOV.GP.IgM,Mpt64.R2A,HspX.R2A,GroES.R2A,PPD.R2A,LAM.R2A,PstS1.R2A,Ag85A.B.R2A,Apa.R2A,Mpt64.R3A,HspX.R3A,GroES.R3A,PPD.R3A,LAM.R3A,PstS1.R3A,Ag85A.B.R3A,Apa.R3A,Mpt64.C1Q,HspX.C1Q,GroES.C1Q,PPD.C1Q,LAM.C1Q,PstS1.C1Q,Ag85A.B.C1Q,Apa.C1Q,LAM.ADCP,LAM.ADNP,LAM.ADNKA.CD107a,LAM.ADNKA.IFNg,LAM.ADNKA.MIP1b,LAM.ADNKA.TNFa,PPD.ADCP,PPD.ADNP,PPD.ADNKA.CD107a,PPD.ADNKA.IFNg,PPD.ADNKA.MIP1b,PPD.ADNKA.TNFa
13N022_wk4_bal,13N022,Week 4 Post-BCG,1.062650602,1.152509653,1.333333333,1.199318569,249.2522523,6.532085561,1.572700297,1.113676732,1.104477612,1.017699115,1.077601411,1.071225071,1.053465347,9.044014085,1.135902637,1.082969432,1.057692308,0.994809689,1.298913043,1.050151976,1.036363636,1.069897084,14.33846154,1.481781377,0.991161616,1.048843188,1.026217228,1.026819923,1.01056338,1.021505376,1.041666667,11.93376414,1.35745614,1.103950104,1.074349442,0.928176796,1.016949153,1.058139535,1.242320819,1.057453416,15.54601227,2.157360406,1.148514851,1.204047218,1.015625,3.962660443,5.283625731,7.839009288,8.755714286,85.07718502,40.97093023,7.398390342,4.898789879,1.594679186,1.370923913,1.172011662,1.141909814,1.043157895,430.3488372,10.99245852,1.723642173,1.9276411,1.52394775,1.602597403,2.532432432,1.926861702,439.8994413,34.49235474,2.553001277,4.363501484,1.862847222,1.075,0.902390438,1.253465347,164.7277397,1.223938224,1.015432099,0.8703125,0.935402667,1.338404537,1.892857143,2.757763975,1.116638079,1.933333333,1.185947414,1.194836245,1.26037282,2.441176471,1.042997543,2.105978261
13N023_wk4_bal,13N023,Week 4 Post-BCG,1.515625,1.851239669,1.510638298,7.31462585,104.7960089,5.909836066,1.965217391,1.677419355,1.108202443,1.05141844,1.068965517,0.936464088,1.174664107,2.780130293,1.244493392,1.070564516,1.190839695,0.986512524,0.92760181,1.099688474,0.987878788,1.072181412,5.415,1.742331288,0.990615224,1.003015075,1.107750473,0.947540984,1.107583774,1.115819209,1.260223048,5.095152603,1.287981859,1.06263048,1.125454545,1.129158513,1.384090909,1.32155477,1.429054054,1.610169492,8.145748988,1.948164147,1.404522613,1.689814815,1.080906149,11.81979405,15.05767732,5.652267819,5.028636884,110.3118581,60.14174589,6.072678331,9.957042957,3.19412516,1.706758305,1.887486856,1.13454075,3.510769231,161.5435631,2.916384181,1.278776978,2.990675991,4.489795918,12.35250737,2.7734375,15.21024259,246.6932271,35.85009862,2.9543379,6.991780822,1.053052326,1.020667727,0.983490566,1.096645367,9.836867863,1.0651341,0.877300613,1.354497354,0.742741532,1.133761386,2.161800487,2.222748815,1.460725076,2.178217822,0.838008407,1.380679338,1.829004329,9.873684211,1.068684517,4.165450122
13N025_wk4_bal,13N025,Week 4 Post-BCG,1.188995215,1.265306122,1.404580153,1.216549296,1.8125,1.45646438,1.826589595,1.07266436,1.00907441,1.071301248,0.934169279,1.071232877,0.958801498,1.143106457,1.101731602,0.95890411,0.911231884,0.972972973,0.981017464,0.988095238,1.01446281,1.008931471,1.316912972,1.258,1.0859375,1.167567568,1.037328094,1.120071685,0.90821256,0.980555556,0.958333333,1.264150943,1.130653266,1.110638298,1,0.933579336,1.101243339,1.209386282,1.333333333,1.299832496,11.51214128,2.350877193,1.705570292,1.942020498,1.046471601,15.74055416,7.846063455,4.641509434,3.044854881,137.9737418,61.2521097,3.118867925,2.681440443,1.766197183,1.170437406,1.488335925,1.270114943,1.085207101,2.890649762,1.969834087,1.507692308,1.381818182,4.246977547,2.510638298,2.032388664,1.705128205,16.78228782,12.94141414,2.256838906,2.309278351,0.869420703,1.181034483,1.003766478,0.923670008,1.309659091,1.135531136,0.915441176,0.99682035,0.939487007,1.492767507,0.91567696,0.703225806,0.911111111,1.006369427,1.129835375,1.072726976,1.256544503,4,1.033962264,2.412568306
13N026_wk4_bal,13N026,Week 4 Post-BCG,1.0968523,1.068965517,1.065517241,1.097435897,32.95652174,13.15934066,1.169491525,1.070689655,1.024604569,1.06928839,0.95959596,0.929155313,1.163599182,6.152097902,1.845986985,0.871086556,1.114877589,1.010909091,1.032843561,0.976109215,1.078239609,1.038540479,6.42599278,1.48125,0.887874837,0.894673123,1.210300429,0.882747069,1.09039548,0.943349754,1.038181818,8.719449225,2.412322275,1.054704595,1.191578947,0.967307692,1.105134474,1.144444444,1.077639752,1.108589951,5.437869822,2.741626794,1.192893401,1.049839228,1.078498294,6.78372591,2.712341198,2.286184211,2.4359401,10.86956522,11.41005803,4.341176471,2.363076923,2.019713262,1.05508982,0.854245881,1.148148148,1.246394231,284.5071174,47.17957746,1.050691244,2.44773791,5.998214286,1.435820896,1.649350649,2.247142857,190.5215385,49.9376054,1.530959752,3.843333333,1.114363513,1.237623762,1.641269841,1.202492212,21.19287834,2.638115632,1.189090909,1.441509434,0.70283206,1.403146128,0.888465205,0.60968661,1.120860927,0.835800808,1.353509404,1.215391735,1.313230769,4.555555556,0.968137255,2.39375
A12V044_wk4_bal,A12V044,Week 4 Post-BCG,0.924623116,0.942800789,1.08627451,1.032702238,1.100436681,1.055232558,1.056886228,1.300675676,1.028985507,0.930851064,0.984455959,1.017142857,0.932142857,0.977818854,0.942184154,0.94049904,1.053380783,1.098393574,1.044512663,1.065671642,1.104712042,1.202952894,1.040268456,1.189542484,0.992366412,1.388679245,1.117063492,1,1.071174377,0.900497512,1.042592593,0.985815603,1.045454545,1.089552239,0.991856678,1.079457364,0.997674419,1.095419847,0.832432432,0.882089552,0.953586498,0.969957082,0.949602122,0.598079886,1.02044293,0.748021108,0.867456897,0.57016683,0.981560284,4.696389094,2.973421927,0.882352941,0.456642876,0.75,1.294354839,1.399497487,1.564885496,1.536866359,1.420068027,1.339721254,1.647727273,1.942307692,1.303082192,0.965744401,1.242105263,0.898195876,1.332767402,1.12987013,1.016129032,1.402884615,1.103405573,0.98358209,0.990950226,1.219230769,1.123762376,0.976744186,1.01744186,1.083629893,0.913939163,0.936748461,0.906032483,0.690265487,1.046296296,0.995735608,1.177934826,1.044873426,0.886195996,0.736842105,0.858707558,1.008602151
A12V053_wk4_bal,A12V053,Week 4 Post-BCG,2.237851662,3.008281573,4.293040293,4.495697074,443.9699571,42.94293478,4.962162162,2.981549815,1.116666667,1.19266055,1.335581788,1.225988701,1.289377289,33.5,3.331050228,1.296943231,1.478411054,1.152263374,1.099686028,1.27076412,1.401069519,0.977861594,40.28330523,3.300225734,0.991706161,1.490740741,0.960747664,1.142857143,1.178181818,1.109375,1.181494662,40.31307551,3.463700234,1.242105263,1.461672474,1.091633466,1.704954955,3.527336861,2.965753425,1.82602118,57.11440678,7.707865169,4.63317757,7.565562914,1.073170732,15.12754159,12.61658654,17.70124481,8.847438753,118.4112554,144.6984733,9.327348066,16.18147448,2.331210191,4.81540931,7.506349206,9.545064378,18.06142506,1029.313178,235.7430025,11.45054945,16.42911392,6.640710383,12.03116147,12.29198473,25.73609467,599.625,142.1824104,10.88038278,22.59400545,0.851362862,1.317589577,1.014285714,1.08588064,481.7216216,4.088531187,1.03264095,1.914651494,1.335875431,1.504182193,9.671052632,2.816806723,1.640394089,4.210526316,1.063689849,1.666610654,2.25,11.02061856,1.099526066,4.256281407
A12V057_wk4_bal,A12V057,Week 4 Post-BCG,1.025,0.980544747,1.251824818,1.029982363,1.422993492,1.337209302,1.19941349,0.987432675,1.010657194,0.957236842,0.977777778,1,0.938380282,1.256013746,1.098654709,0.935969868,0.987610619,1.056092843,1.099730458,0.973799127,0.736933798,0.945013747,1.498310811,1.185714286,1.064285714,0.982378855,0.90199637,1.204633205,1.074074074,0.964010283,0.982758621,1.497409326,1.097222222,0.811594203,1.102040816,1.136865342,0.991683992,0.985046729,1.086956522,0.94972067,1.241935484,1.049261084,1.075129534,0.972580645,1.092465753,1.303308824,1.236297199,1.002898551,1.248788368,31.23152709,11.34210526,1.143552311,1.345120226,1.094915254,0.908302354,1.030525031,1.597785978,1.135102533,4.555755396,1.006535948,0.75,1.221354167,1.524953789,1.045387994,1.244306418,1.153571429,42.94903339,5.297113752,1.421474359,1.317482517,1.12710084,1.092409241,0.848771267,1.181372549,1.056074766,1.045634921,1.067934783,1.015384615,0.791097281,1.236778928,1.057718121,0.951219512,1.232604374,0.84841629,1.195417931,0.915773764,1.302480339,2.510638298,0.982202447,1.764411028
A12V058_wk4_bal,A12V058,Week 4 Post-BCG,1.793103448,1.779296875,2.382022472,1.821490468,323.1965812,51.76502732,5.144578313,4.047619048,1.141361257,1.04536862,1.178378378,1.193298969,1.01183432,20.52264808,2.291322314,1.062836625,1.214539007,1.169734151,0.946153846,0.917989418,1.005813953,0.975109409,23.9640625,2.519762846,1.093347639,1.106315789,1.091954023,1.03074141,1.051993068,1.047120419,1.317596567,21.79577465,2.519823789,1.214285714,1.258003766,1.02739726,1.717307692,1.585951941,1.688235294,1.626139818,58.13899614,15.26241135,2.040380048,1.683563748,1.006535948,12.13315217,8.916756757,4.305687204,2.969565217,98.04803922,28.36611374,4.79137931,5.049454769,1.882034632,2.37890625,1.939237899,2.317484663,1.720178372,646.6089466,58.8100471,13.13157895,4.78531856,13.17256011,8.082010582,7.209486166,9.950456323,526.5882353,165.3315315,20.28174603,17.73453608,1.008161045,0.819912152,1.018761726,1.002459016,353.412844,4.640926641,0.890647482,1.5216,0.90619825,1.231940164,7.182910547,8.251937984,1.371567044,6.909871245,0.912225155,1.234712966,1.925965665,10.07627119,0.98812095,4.18558952
A12V062_wk4_bal,A12V062,Week 4 Post-BCG,0.992665037,1.004123711,0.952380952,0.929392447,1.034408602,0.964577657,0.988505747,0.981884058,0.980667838,0.958263773,0.998363339,1.171091445,1.044230769,1.124760077,1.021459227,1.172340426,0.921675774,1.017045455,0.760839161,0.998360656,0.919908467,1.05851331,0.95638126,0.953744493,1.164133739,0.954198473,0.876033058,0.975791434,0.945518453,1,1.033663366,0.979020979,0.986784141,1.040358744,1.026415094,1.037878788,1.155251142,1.003738318,0.964169381,0.98136646,1.080808081,1.07654321,1.002475248,0.985049834,0.980830671,0.553424658,0.666267943,0.770949721,0.802910053,0.80952381,0.702276708,0.754166667,0.812874251,0.851162791,1.05588585,1.03860523,0.484957882,0.984375,1.378823529,0.858887381,0.992916175,0.784146341,1.154605263,1.138977636,1.25974026,1.117647059,1.387283237,1.046875,0.995502249,0.975476839,1.114549654,0.897877984,0.981549815,0.854030501,0.891176471,0.801652893,1.096336499,0.874613003,1.119182393,0.925657945,0.928571429,0.8125,1.100993377,0.886792453,0.75907864,0.973068988,0.947616245,0.921348315,0.952898551,1.136094675
A12V066_wk4_bal,A12V066,Week 4 Post-BCG,1.044334975,1.172022684,1.383211679,1.676616915,428.2521008,33.39325843,1.59375,2.385454545,0.989399293,1.12849162,1.079710145,1.21875,1.183486239,36.46350365,3.091127098,1.132196162,1.763313609,1.090225564,1.017815647,1.273631841,1.03712297,1.095265044,32.14878893,2.711618257,1.074812968,1.545688546,1.135396518,1.151631478,1.093023256,1.266871166,1.172222222,27.50912409,2.334801762,1.042226488,1.688492063,1.127272727,1.055421687,1.046554935,0.927631579,1.193771626,23.79497908,2.790575916,1.109625668,1.135416667,1.010238908,7.78125,7.338929696,2.68872549,2.895752896,35.75068871,10.45896328,3.506666667,2.948180816,1.715053763,0.734072022,1.718569781,1.708757637,7.874384236,847.041876,114.0403361,2.141442716,14.94178082,1.313019391,3.172619048,4.097046414,15.3971831,646.3089888,147.3042636,3.424448217,14.97008547,0.784239359,1.038095238,0.892276423,1.159701493,384.6631259,4.245967742,0.977591036,3.5375,1.215886302,1.348510288,2.037089872,1.667910448,1.105042017,1.87366548,1.515637631,1.524653625,1.488245931,6.359375,0.991646778,3.314720812
