Sample,Animal,Timepoint,Mpt64.IgG1,HspX.IgG1,GroES.IgG1,PPD.IgG1,LAM.IgG1,PstS1.IgG1,Ag85A.B.IgG1,Apa.IgG1,EBOV.GP.IgG1,Mpt64.IgG2,HspX.IgG2,GroES.IgG2,PPD.IgG2,LAM.IgG2,PstS1.IgG2,Ag85A.B.IgG2,Apa.IgG2,EBOV.GP.IgG2,Mpt64.IgG3,HspX.IgG3,GroES.IgG3,PPD.IgG3,LAM.IgG3,PstS1.IgG3,Ag85A.B.IgG3,Apa.IgG3,EBOV.GP.IgG3,Mpt64.IgG4,HspX.IgG4,GroES.IgG4,PPD.IgG4,LAM.IgG4,PstS1.IgG4,Ag85A.B.IgG4,Apa.IgG4,EBOV.GP.IgG4,Mpt64.IgA,HspX.IgA,GroES.IgA,PPD.IgA,LAM.IgA,PstS1.IgA,Ag85A.B.IgA,Apa.IgA,EBOV.GP.IgA,Mpt64.IgM,HspX.IgM,GroES.IgM,PPD.IgM,LAM.IgM,PstS1.IgM,Ag85A.B.IgM,Apa.IgM,EBOV.GP.IgM,Mpt64.R2A,HspX.R2A,GroES.R2A,PPD.R2A,LAM.R2A,PstS1.R2A,Ag85A.B.R2A,Apa.R2A,Mpt64.R3A,HspX.R3A,GroES.R3A,PPD.R3A,LAM.R3A,PstS1.R3A,Ag85A.B.R3A,Apa.R3A,Mpt64.C1Q,HspX.C1Q,GroES.C1Q,PPD.C1Q,LAM.C1Q,PstS1.C1Q,Ag85A.B.C1Q,Apa.C1Q,LAM.ADCP,LAM.ADNP,LAM.ADNKA.CD107a,LAM.ADNKA.IFNg,LAM.ADNKA.MIP1b,LAM.ADNKA.TNFa,PPD.ADCP,PPD.ADNP,PPD.ADNKA.CD107a,PPD.ADNKA.IFNg,PPD.ADNKA.MIP1b,PPD.ADNKA.TNFa
DGLF_wk2_post_plasma,DGLF,Week 2 Post-Mtb,0.685230024,0.66846569,0.812351544,1.399334443,2.6608,0.746456693,0.799137931,1.845086705,0.991987179,0.749406176,0.769991756,0.708965517,0.816513761,1.925513699,0.931547619,0.751879699,0.945843829,0.958041958,0.906153846,0.736901408,0.774193548,0.81725745,1.594104308,0.653937947,0.715286624,0.921900161,1.009259259,0.925742574,1.023222061,1.06937799,1.012882448,1.909090909,1.001897533,1.028142589,1.011023622,1.001972387,0.910423453,0.923719958,1.031835206,0.985472155,0.989344909,0.900347625,1.073578595,1.016806723,0.957482993,1.750357654,1.165191373,0.812227074,1.097560976,1.191397132,1.657665143,1.009468701,1.2802589,1.203389831,1.001424501,0.623009798,1.126967019,0.504736643,4.888182405,1.782198054,1.37589092,0.864634406,1.05951406,1.126046811,1.14480198,1.440358744,2.402448903,2.775315432,1.365722166,1.767955801,1.063904144,1.198369565,1.061503417,1.356068205,1.881458967,3.314649682,0.836090226,1.757121439,1.167965318,1.690210804,1.459403905,1.604370761,1.03968254,1.459986082,1.042311207,1.386868424,1.323113208,2.652406417,1.103603604,1.965250965
HAR_wk2_post_plasma,HAR,Week 2 Post-Mtb,0.908396947,0.98757764,0.985685072,0.519404572,0.338952972,0.751445087,0.988269795,0.669051878,0.978151261,0.807825086,0.854378819,0.804577465,0.886920981,1.025411061,1.063424947,0.804177546,0.856368564,0.951438849,0.962513782,1.041216879,1.037828947,1.126921084,0.824742268,0.794223827,0.964491363,1.084693878,1.054945055,0.986198243,1.106990014,1.024663677,0.995391705,0.92972973,0.904296875,0.978896104,0.99847561,1.126760563,0.995614035,0.910394265,1.03776435,0.934615385,0.772390188,0.908986175,0.985254692,0.887307236,1.093189964,0.590274185,0.497906003,0.661786237,0.776268116,0.686671863,0.464459591,0.658937198,0.749188312,0.819773429,0.811918705,0.874684609,1.107120353,1.057900433,0.450770423,0.946417821,0.998360656,0.883183569,0.328707815,0.463110403,0.339087864,0.483926031,0.354018311,0.336694483,0.364866992,0.443382133,0.892373209,0.860869565,0.83877551,0.637211855,0.920967742,0.365025467,0.935749588,0.444367177,1.258639037,1.855837053,0.906092789,0.493957704,1.077844311,0.749838814,2.031917149,1.89239907,0.97766323,1.177676538,1.060393258,1.077537058
HCZ_wk2_post_plasma,HCZ,Week 2 Post-Mtb,0.828625235,0.719626168,0.766169154,0.608163265,1.302197802,0.773333333,0.83452381,0.595896521,0.928571429,1.135313531,0.963677639,0.822495606,0.843085106,1.38836478,1.009765625,1.058479532,0.927777778,0.967272727,1.088483146,1.265260821,1.033687943,1.224218385,1.308139535,1.077504726,1.147029204,1.170848268,1.159763314,0.995260664,1.14658926,0.87295082,0.913522013,1.221565731,1.101769912,0.924874791,1.171929825,1.074747475,0.972262774,1.042757417,0.947368421,0.955743879,2.932126697,1.156565657,0.995238095,0.951690821,1.01754386,0.614442013,0.468658309,0.728125,0.619834711,1.151975684,0.80994152,0.630081301,0.843260188,0.728927203,0.964476021,0.805821665,0.771173848,1.113785558,13.99923528,4.588081775,1.149184149,1.571428571,0.69550609,0.335116676,0.323843875,0.258574007,1.969121507,0.645898484,0.241305796,0.339651838,0.995426829,1,1.164305949,1.03625731,0.914556962,1.044491525,0.984293194,1,1.313125243,1.938529615,1.0723589,0.473079684,0.987447699,0.862176166,2.376962493,1.641945839,0.967307692,0.555956679,1.166666667,0.759358289
O1K_wk2_post_plasma,O1K,Week 2 Post-Mtb,0.959537572,0.705615942,0.545877378,0.677234803,0.878211227,0.532942238,0.558570938,0.670660857,0.898591549,0.829145729,0.904379562,0.918558077,0.946596859,1.039948454,0.867692308,0.798165138,0.897435897,0.911458333,0.60456621,0.483156581,0.39011236,0.771567944,0.798347107,0.499084249,0.499023819,0.528126707,0.86327504,1.021084337,0.856359649,0.819923372,0.916426513,1.18858954,0.988372093,0.811715481,0.97412481,1.023897059,0.946027896,0.888965517,0.774612694,0.818755636,1.217582418,0.855093257,0.734613706,0.794117647,0.885198556,1.39513967,1.133817604,0.834364588,0.811397558,1.563805104,1.757838284,0.968768415,1.05676373,1.292989418,0.406449457,0.456422234,0.330193882,0.313539084,0.445825736,0.340430941,0.361450839,0.258308943,0.54601658,0.508299958,0.253197436,0.312428457,1.218899459,0.507793822,0.412135935,0.368474495,5.619258439,5.791903858,0.990654206,1.396923077,1.014285714,1.349900596,1.051863857,1.130671506,1.071482372,0.980193223,2.599647266,0.624026696,0.910543131,1.083853702,1.410499357,1.421869091,0.949275362,0.653979239,0.914357683,0.648506151
OBC_wk2_post_plasma,OBC,Week 2 Post-Mtb,0.803076923,0.75059952,0.643776824,0.655292259,0.791154791,0.662650602,0.514453699,0.648594378,0.928460342,0.724760893,0.76344086,0.60969697,0.817805383,0.941690962,1.023622047,0.680892338,0.789411765,0.887323944,0.8325,0.681454545,0.706349206,0.62084323,0.980295567,1.066132265,0.701923077,0.816532258,0.933560477,0.928977273,0.866205306,1.092631579,0.995412844,1.024549918,0.914760915,0.925037481,0.902298851,1.043650794,0.883792049,0.898797595,0.801144492,0.862288136,0.980582524,0.912536443,0.951289398,1.009055627,1.044520548,0.484449426,0.751510376,0.679569892,0.796577017,0.936424675,1.136458333,0.683922559,0.978532202,0.791082803,0.571660577,0.596528395,0.68544493,0.645046235,0.763807729,0.558863329,0.734718047,0.528505068,0.811268579,0.957528231,1.082114362,0.908536038,1.15507387,1.044623385,0.913170005,1.046740101,0.740872663,0.81281407,0.862980769,0.93802521,1.024311183,0.927734375,0.951923077,1.22745098,1.444408964,1.201364148,1.851778656,0.50975976,1.002038736,0.976658477,1.001618142,2.237641928,1.179954442,2.416666667,1.048979592,1.552030457
PP13A08B_wk2_post_plasma,PP13A08B,Week 2 Post-Mtb,1.159010601,1.442902882,1.674666667,0.777826468,1.4828125,1.49261745,1.607415485,0.788742182,0.927652733,0.964830012,0.995468278,0.969191271,1.067982456,1.094452774,1.025782689,0.992349727,1.045346062,1.024390244,0.92893401,1.108552632,1.178470255,1.086198547,1.237553343,0.870458136,1.02529511,1.041456016,1.054867257,0.925474255,1.046948357,0.976827094,0.93175853,1.152037618,1.032818533,1.161695447,0.972222222,0.927272727,0.623293904,0.748380409,0.725618132,0.692489054,0.736729452,0.726934524,0.735716672,0.634559535,0.881491345,0.534161491,0.870845604,0.602189781,0.708185053,0.568416701,0.817098446,0.541666667,0.720204313,0.696396396,1.271778821,1.240824886,0.918178763,1.459570113,3.804407713,1.019053876,1.232918778,1.111288393,0.429587482,0.444444444,0.510236945,0.452575488,2.199155368,0.538668926,0.533350649,0.520365752,0.575320513,1.055555556,1.075376884,1.001084599,0.886877828,1.183333333,0.929853181,1.072824156,1.636666147,1.084974733,1.7109375,1.377358491,1.058504875,1.276712329,1.288840009,1.581807411,1.384428224,0.254492472,1.04519774,2.126744186
13N022_wk4_plasma,13N022,Week 4 Post-BCG,0.61709212,0.465018411,0.449971735,0.569661108,4.17533557,1.310703667,0.357198444,0.753824092,1.031347962,0.926630435,0.879464286,0.972644377,0.873449132,4.586572438,1.4217119,0.97625,1.111869031,1.042592593,0.830558276,0.527548209,0.666174298,0.956624873,3.882420091,1.14957265,0.63831692,0.938385269,0.970639033,1.021416804,0.895006402,1.013333333,1.067264574,3.953592814,1.465517241,1.061728395,1.285475793,0.955339806,1.040752351,1.036166365,1.022284123,1.134249471,8.597667638,3.141428571,1.180306905,1.181578947,1.131672598,1.25620389,1.536321484,1.015238095,1.333116037,0.705590941,0.82283737,1.046232877,0.796726505,1.20112782,0.662592754,0.453365596,0.43231441,0.464903357,24.71494404,2.612894223,0.217990808,0.618430792,0.882902939,0.427192499,0.530667741,0.702486304,8.139665589,2.927921187,0.587004627,0.855444032,1.122109158,1.19245283,1.024193548,1.155405405,42.87633588,7.278656126,0.884033613,1.522689076,0.959456146,0.876980084,6.688311688,4.579759863,1.055913978,4.305343511,1.100067589,0.58541665,1.188720174,1.403125,1.064643799,1.273120138
13N023_wk4_plasma,13N023,Week 4 Post-BCG,1.318327974,1.325769854,1.11038961,3.038651824,11.54942234,1.412228797,1.433490885,1.158270174,1.072900158,0.984081042,0.940486925,1.050406504,1.135376756,1.369905956,1.019305019,1.033462033,1.093220339,0.959860384,0.969660916,1.046723301,1.112024666,1.117892039,1.482758621,0.962432916,1.147037308,1.244935543,1.086172345,1.161449753,1.153132251,1.133333333,1.231563422,1.54491018,0.970873786,0.958883994,1.122186495,1.106870229,1.017218543,1.191119691,1.039362232,1.239691889,1.774617068,1.083888889,1.256501785,1.124539425,0.956937799,1.113550734,1.131314401,1.830339321,1.383642496,13.25127047,7.594468453,1.286281588,1.529043478,1.0875,1.687089716,2.254111842,2.291409587,3.19535284,45.79297246,2.298932384,2.081040218,2.719945355,0.604567524,0.973040306,0.888359257,1.280719281,12.1582657,1.316054159,0.767527954,1.037862771,1.137511271,1.055555556,0.859410431,1.472595657,4.448881789,1.18380744,0.953560372,1.702544031,1.209645077,1.159671645,5.284178187,3.748962656,1.111992071,3.755102041,1.335317914,1.234233011,1.389097744,1.530254777,1.080939948,1.302752294
13N025_wk4_plasma,13N025,Week 4 Post-BCG,1.026536313,1.17967033,0.98013245,0.754489115,2.164383562,1.047566976,1.050366032,0.728196721,0.95754717,0.952164009,0.865030675,0.849791377,0.855144855,1.229135053,1.005376344,1.005213764,0.941624365,0.918918919,0.918772563,0.794352941,0.80019305,0.930044183,1.529542921,1.203551913,0.913793103,0.853140917,0.981583794,0.98816568,0.948387097,1.15212528,0.92265943,1.227272727,0.97495183,1.114192496,0.942161339,1.054989817,0.913239437,0.851376721,0.88799643,0.934056399,1.302036199,0.842325581,0.885433715,0.888489209,1.056856187,1.147159895,1.13173412,1.417475728,1.262174783,24.17243304,13.14857941,1.265235457,1.214897825,0.899574468,0.42094826,0.332670313,0.422008641,0.329045623,0.574367366,0.482885635,0.512466437,0.396155453,0.747516273,1.037490837,0.879307145,0.724200144,2.564861919,1.622204173,0.892675661,0.66444766,1.045516614,1.14379085,1.288135593,0.866666667,4.8015625,1.170212766,1.079391892,1.022801303,0.955306523,0.967592503,1.606864275,1,1.070374574,1.116770186,0.993544857,1.090974397,1.32731377,1.285714286,1.101508916,1.284741144
13N026_wk4_plasma,13N026,Week 4 Post-BCG,1.114457831,1.106493506,1.606,1.610455312,76.8655914,1.98690671,1.53943662,1.300204918,1.054237288,0.942222222,1.038130381,0.834586466,0.978461538,5.621621622,1.259259259,0.948948949,1.068535826,1.047957371,0.824331411,1.826377295,1.467153285,0.775379939,6.580838323,1.242372881,1.239795918,1.014880952,0.955390335,1.087859425,1.418397626,1.371052632,1.099337748,6.3390625,1.06263048,1.21402214,1.182130584,0.85971223,1.140672783,1.305413687,1.229041916,1.208287895,5.859030837,1.268326418,1.288227334,1.095652174,0.954545455,1.883731618,1.558413719,2.235735736,1.468622101,32.62274096,22.64692654,2.308474576,4.530864198,1.289419087,0.87803532,1.439248051,1.081017428,1.279712548,126.4076433,2.766494179,1.450650344,1.361269325,0.321152952,0.81928831,1.010375183,0.766068099,26.86312234,2.625771441,0.976830113,0.950903512,1.174982431,1.194055944,1.206434316,1.238875878,199.1346154,1.028169014,1.070643642,1.01458671,1.029883168,1.187241861,10.85925926,7.764900662,1.25106383,7.772435897,1.295338589,1.052138363,1.225,0.825864277,1.032520325,0.898724083
